hybrid_run_id,policy_version,experiment_id,dataset,anomaly_type,anomaly_rate,method,records,true_anomalies,predicted_anomalies,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,accuracy,balanced_accuracy,pr_auc
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r01_s2142,retail,A2,0.01,ISOLATION_FOREST,6000,59,380,3,5564,377,56,0.007894736842105263,0.05084745762711865,0.01366742596810934,0.06345733041575492,0.9491525423728814,0.936542669584245,0.9278333333333333,0.4936950636056818,0.010023415003185598
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r01_s2142,retail,A2,0.01,LOCAL_OUTLIER_FACTOR,6000,59,750,5,5196,745,54,0.006666666666666667,0.0847457627118644,0.012360939431396786,0.12539976434943612,0.9152542372881356,0.8746002356505639,0.8668333333333333,0.47967299918121414,0.010203612391741057
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r01_s2142,retail,A2,0.01,AI_CONSENSUS,6000,59,1002,8,4947,994,51,0.007984031936127744,0.13559322033898305,0.015080113100848256,0.16731190035347585,0.864406779661017,0.8326880996465241,0.8258333333333333,0.4841406599927536,0.00960562816061659
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r01_s2142,retail,A2,0.01,HYBRID_V1,6000,59,1539,9,4411,1530,50,0.005847953216374269,0.15254237288135594,0.011264080100125156,0.25753240195253324,0.847457627118644,0.7424675980474668,0.7366666666666667,0.44750498546441136,0.010479785766041505
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r05_s2143,retail,A2,0.05,RULE_ONLY,6000,286,381,0,5333,381,286,0.0,0.0,0.0,0.06667833391669584,1.0,0.9333216660833041,0.8888333333333334,0.46666083304165207,0.04766666666666667
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r05_s2143,retail,A2,0.05,ISOLATION_FOREST,6000,286,386,23,5351,363,263,0.05958549222797927,0.08041958041958042,0.06845238095238096,0.06352817640882044,0.9195804195804196,0.9364718235911795,0.8956666666666667,0.50844570200538,0.05427814693842593
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r05_s2143,retail,A2,0.05,LOCAL_OUTLIER_FACTOR,6000,286,747,31,4998,716,255,0.041499330655957165,0.10839160839160839,0.060019361084220714,0.12530626531326566,0.8916083916083916,0.8746937346867344,0.8381666666666666,0.4915426715391714,0.045752298507768394
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r05_s2143,retail,A2,0.05,AI_CONSENSUS,6000,286,1005,50,4759,955,236,0.04975124378109453,0.17482517482517482,0.07745933384972889,0.16713335666783338,0.8251748251748252,0.8328666433321666,0.8015,0.5038459090786708,0.048775727935280955
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r05_s2143,retail,A2,0.05,HYBRID_V1,6000,286,1524,58,4248,1466,228,0.03805774278215223,0.20279720279720279,0.06408839779005525,0.2565628281414071,0.7972027972027972,0.7434371718585929,0.7176666666666667,0.47311718732789787,0.05545495141693245
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r10_s2144,retail,A2,0.1,RULE_ONLY,6000,545,368,0,5087,368,545,0.0,0.0,0.0,0.06746104491292393,1.0,0.9325389550870761,0.8478333333333333,0.46626947754353804,0.09083333333333334
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r10_s2144,retail,A2,0.1,ISOLATION_FOREST,6000,545,377,30,5108,347,515,0.07957559681697612,0.05504587155963303,0.0650759219088937,0.06361136571952337,0.944954128440367,0.9363886342804766,0.8563333333333333,0.4957172529200548,0.08689609827257273
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r10_s2144,retail,A2,0.1,LOCAL_OUTLIER_FACTOR,6000,545,737,66,4784,671,479,0.08955223880597014,0.12110091743119267,0.1029641185647426,0.123006416131989,0.8788990825688073,0.876993583868011,0.8083333333333333,0.4990472506496018,0.09123442813898516
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r10_s2144,retail,A2,0.1,AI_CONSENSUS,6000,545,992,90,4553,902,455,0.0907258064516129,0.1651376146788991,0.11711125569290826,0.16535288725939504,0.8348623853211009,0.834647112740605,0.7738333333333334,0.49989236370975204,0.0871038534391543
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A2_r10_s2144,retail,A2,0.1,HYBRID_V1,6000,545,1513,110,4052,1403,435,0.07270323859881031,0.2018348623853211,0.10689990281827016,0.25719523373052244,0.7981651376146789,0.7428047662694776,0.6936666666666667,0.47231981432739933,0.09638791371144098
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r01_s2242,retail,A3,0.01,RULE_ONLY,6000,60,417,4,5527,413,56,0.009592326139088728,0.06666666666666667,0.016771488469601678,0.06952861952861952,0.9333333333333333,0.9304713804713804,0.9218333333333333,0.49856902356902355,0.009972821742605916
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r01_s2242,retail,A3,0.01,ISOLATION_FOREST,6000,60,373,2,5569,371,58,0.005361930294906166,0.03333333333333333,0.009237875288683603,0.062457912457912455,0.9666666666666667,0.9375420875420876,0.9285,0.48543771043771045,0.02014052078566764
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r01_s2242,retail,A3,0.01,LOCAL_OUTLIER_FACTOR,6000,60,762,60,5238,702,0,0.07874015748031496,1.0,0.145985401459854,0.11818181818181818,0.0,0.8818181818181818,0.883,0.9409090909090909,0.06733183006712803
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r01_s2242,retail,A3,0.01,AI_CONSENSUS,6000,60,1025,60,4975,965,0,0.05853658536585366,1.0,0.11059907834101383,0.16245791245791247,0.0,0.8375420875420876,0.8391666666666666,0.9187710437710438,0.042901486694045726
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r01_s2242,retail,A3,0.01,HYBRID_V1,6000,60,1566,60,4434,1506,0,0.038314176245210725,1.0,0.07380073800738007,0.25353535353535356,0.0,0.7464646464646465,0.749,0.8732323232323232,0.054330941938222216
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r05_s2243,retail,A3,0.05,RULE_ONLY,6000,300,395,20,5325,375,280,0.05063291139240506,0.06666666666666667,0.05755395683453238,0.06578947368421052,0.9333333333333333,0.9342105263157895,0.8908333333333334,0.5004385964912281,0.05004219409282701
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r05_s2243,retail,A3,0.05,ISOLATION_FOREST,6000,300,362,18,5356,344,282,0.049723756906077346,0.06,0.054380664652567974,0.060350877192982454,0.94,0.9396491228070175,0.8956666666666667,0.4998245614035087,0.09685330564832859
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r05_s2243,retail,A3,0.05,LOCAL_OUTLIER_FACTOR,6000,300,1052,300,4948,752,0,0.28517110266159695,1.0,0.4437869822485207,0.1319298245614035,0.0,0.8680701754385964,0.8746666666666667,0.9340350877192982,0.24159352646094628
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r05_s2243,retail,A3,0.05,AI_CONSENSUS,6000,300,1279,300,4721,979,0,0.23455824863174354,1.0,0.3799873337555415,0.17175438596491227,0.0,0.8282456140350877,0.8368333333333333,0.9141228070175438,0.18069619979176788
HYBRID_20260727T160302Z,HYBRID_POLICY_V1.0,retail_A3_r05_s2243,retail,A3,0.05,HYBRID_V1,6000,300,1724,300,4276,1424,0,0.1740139211136891,1.0,0.2964426877470356,0.24982456140350878,0.0,0.7501754385964913,0.7626666666666667,0.8750877192982456,0.21681024867892065
