records,true_anomalies,predicted_anomalies,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,experiment_id,dataset,outer_fold,method,true_positive,false_positive,false_negative,true_negative,anomaly_type,anomaly_rate
10000.0,100.0,189.0,100.0,9811.0,89.0,0.0,0.5291005291005291,1.0,0.6920415224913494,0.00898989898989899,0.0,0.991010101010101,0.9955050505050504,healthcare_A2_r01_s1142,healthcare,1.0,RULE_ONLY,,,,,,
10000.0,500.0,10.0,0.0,9490.0,10.0,500.0,0.0,0.0,0.0,0.0010526315789473684,1.0,0.9989473684210526,0.4994736842105263,healthcare_A2_r05_s1143,healthcare,1.0,AI_CONSENSUS,,,,,,
10000.0,500.0,1156.0,500.0,8844.0,656.0,0.0,0.43252595155709345,1.0,0.6038647342995169,0.06905263157894737,0.0,0.9309473684210526,0.9654736842105263,healthcare_A2_r05_s1143,healthcare,1.0,HYBRID_V1,,,,,,
10000.0,500.0,240.0,39.0,9299.0,201.0,461.0,0.1625,0.078,0.10540540540540541,0.021157894736842105,0.922,0.9788421052631578,0.5284210526315789,healthcare_A2_r05_s1143,healthcare,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,993.0,500.0,9007.0,493.0,0.0,0.5035246727089627,1.0,0.6697923643670461,0.051894736842105264,0.0,0.9481052631578948,0.9740526315789474,healthcare_A2_r05_s1143,healthcare,1.0,RULE_ONLY,,,,,,
10000.0,1000.0,12.0,2.0,8990.0,10.0,998.0,0.16666666666666666,0.002,0.003952569169960474,0.0011111111111111111,0.998,0.9988888888888889,0.5004444444444445,healthcare_A2_r10_s1144,healthcare,3.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,2046.0,1000.0,7954.0,1046.0,0.0,0.4887585532746823,1.0,0.6565988181221274,0.11622222222222223,0.0,0.8837777777777778,0.9418888888888889,healthcare_A2_r10_s1144,healthcare,3.0,HYBRID_V1,,,,,,
10000.0,1000.0,296.0,83.0,8787.0,213.0,917.0,0.28040540540540543,0.083,0.12808641975308643,0.023666666666666666,0.917,0.9763333333333334,0.5296666666666667,healthcare_A2_r10_s1144,healthcare,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,1912.0,1000.0,8088.0,912.0,0.0,0.5230125523012552,1.0,0.6868131868131868,0.10133333333333333,0.0,0.8986666666666666,0.9493333333333334,healthcare_A2_r10_s1144,healthcare,3.0,RULE_ONLY,,,,,,
10000.0,100.0,116.0,100.0,9884.0,16.0,0.0,0.8620689655172413,1.0,0.9259259259259259,0.0016161616161616162,0.0,0.9983838383838384,0.9991919191919192,healthcare_A3_r01_s1242,healthcare,3.0,AI_CONSENSUS,,,,,,
